Wed May 14 12:19:02 CEST 2014: Problem Count: 50
Wed May 14 12:19:02 CEST 2014: CandidatesCount: 20
Wed May 14 12:19:02 CEST 2014: Max Cycles: 500
Wed May 14 12:19:02 CEST 2014: 0: finished (140ms, 500cycles)
Wed May 14 12:19:02 CEST 2014: 0: No solution found.
Wed May 14 12:19:02 CEST 2014: 1: finished (6ms, 21cycles)
Wed May 14 12:19:02 CEST 2014: 1: Solution found.
Wed May 14 12:19:03 CEST 2014: 2: finished (133ms, 500cycles)
Wed May 14 12:19:03 CEST 2014: 2: No solution found.
Wed May 14 12:19:03 CEST 2014: 3: finished (143ms, 500cycles)
Wed May 14 12:19:03 CEST 2014: 3: No solution found.
Wed May 14 12:19:03 CEST 2014: 4: finished (134ms, 500cycles)
Wed May 14 12:19:03 CEST 2014: 4: No solution found.
Wed May 14 12:19:03 CEST 2014: 5: finished (132ms, 500cycles)
Wed May 14 12:19:03 CEST 2014: 5: No solution found.
Wed May 14 12:19:03 CEST 2014: 6: finished (140ms, 500cycles)
Wed May 14 12:19:03 CEST 2014: 6: No solution found.
Wed May 14 12:19:03 CEST 2014: 7: finished (133ms, 500cycles)
Wed May 14 12:19:03 CEST 2014: 7: No solution found.
Wed May 14 12:19:03 CEST 2014: 8: finished (9ms, 28cycles)
Wed May 14 12:19:03 CEST 2014: 8: Solution found.
Wed May 14 12:19:03 CEST 2014: 9: finished (134ms, 500cycles)
Wed May 14 12:19:03 CEST 2014: 9: No solution found.
Wed May 14 12:19:04 CEST 2014: 10: finished (132ms, 500cycles)
Wed May 14 12:19:04 CEST 2014: 10: No solution found.
Wed May 14 12:19:04 CEST 2014: 11: finished (133ms, 500cycles)
Wed May 14 12:19:04 CEST 2014: 11: No solution found.
Wed May 14 12:19:04 CEST 2014: 12: finished (143ms, 500cycles)
Wed May 14 12:19:04 CEST 2014: 12: No solution found.
Wed May 14 12:19:04 CEST 2014: 13: finished (147ms, 500cycles)
Wed May 14 12:19:04 CEST 2014: 13: No solution found.
Wed May 14 12:19:04 CEST 2014: 14: finished (144ms, 500cycles)
Wed May 14 12:19:04 CEST 2014: 14: No solution found.
Wed May 14 12:19:04 CEST 2014: 15: finished (143ms, 500cycles)
Wed May 14 12:19:04 CEST 2014: 15: No solution found.
Wed May 14 12:19:04 CEST 2014: 16: finished (20ms, 63cycles)
Wed May 14 12:19:04 CEST 2014: 16: Solution found.
Wed May 14 12:19:04 CEST 2014: 17: finished (133ms, 500cycles)
Wed May 14 12:19:04 CEST 2014: 17: No solution found.
Wed May 14 12:19:05 CEST 2014: 18: finished (133ms, 500cycles)
Wed May 14 12:19:05 CEST 2014: 18: No solution found.
Wed May 14 12:19:05 CEST 2014: 19: finished (115ms, 500cycles)
Wed May 14 12:19:05 CEST 2014: 19: No solution found.
Wed May 14 12:19:05 CEST 2014: 20: finished (138ms, 500cycles)
Wed May 14 12:19:05 CEST 2014: 20: No solution found.
Wed May 14 12:19:05 CEST 2014: 21: finished (132ms, 500cycles)
Wed May 14 12:19:05 CEST 2014: 21: No solution found.
Wed May 14 12:19:05 CEST 2014: 22: finished (139ms, 500cycles)
Wed May 14 12:19:05 CEST 2014: 22: No solution found.
Wed May 14 12:19:05 CEST 2014: 23: finished (140ms, 500cycles)
Wed May 14 12:19:05 CEST 2014: 23: No solution found.
Wed May 14 12:19:05 CEST 2014: 24: finished (171ms, 500cycles)
Wed May 14 12:19:05 CEST 2014: 24: No solution found.
Wed May 14 12:19:06 CEST 2014: 25: finished (145ms, 500cycles)
Wed May 14 12:19:06 CEST 2014: 25: No solution found.
Wed May 14 12:19:06 CEST 2014: 26: finished (134ms, 500cycles)
Wed May 14 12:19:06 CEST 2014: 26: No solution found.
Wed May 14 12:19:06 CEST 2014: 27: finished (139ms, 500cycles)
Wed May 14 12:19:06 CEST 2014: 27: No solution found.
Wed May 14 12:19:06 CEST 2014: 28: finished (140ms, 500cycles)
Wed May 14 12:19:06 CEST 2014: 28: No solution found.
Wed May 14 12:19:06 CEST 2014: 29: finished (146ms, 500cycles)
Wed May 14 12:19:06 CEST 2014: 29: No solution found.
Wed May 14 12:19:06 CEST 2014: 30: finished (141ms, 500cycles)
Wed May 14 12:19:06 CEST 2014: 30: No solution found.
Wed May 14 12:19:06 CEST 2014: 31: finished (13ms, 40cycles)
Wed May 14 12:19:06 CEST 2014: 31: Solution found.
Wed May 14 12:19:06 CEST 2014: 32: finished (132ms, 500cycles)
Wed May 14 12:19:06 CEST 2014: 32: No solution found.
Wed May 14 12:19:07 CEST 2014: 33: finished (140ms, 500cycles)
Wed May 14 12:19:07 CEST 2014: 33: No solution found.
Wed May 14 12:19:07 CEST 2014: 34: finished (147ms, 500cycles)
Wed May 14 12:19:07 CEST 2014: 34: No solution found.
