Sat Jan 11 18:41:51 CET 2014: Problem Count: 50
Sat Jan 11 18:41:51 CET 2014: CandidatesCount: 30
Sat Jan 11 18:41:51 CET 2014: Max Cycles: 500
Sat Jan 11 18:41:51 CET 2014: 0: finished (225ms, 500cycles)
Sat Jan 11 18:41:51 CET 2014: 0: No solution found.
Sat Jan 11 18:41:51 CET 2014: 1: finished (208ms, 500cycles)
Sat Jan 11 18:41:51 CET 2014: 1: No solution found.
Sat Jan 11 18:41:51 CET 2014: 2: finished (7ms, 14cycles)
Sat Jan 11 18:41:51 CET 2014: 2: Solution found.
Sat Jan 11 18:41:52 CET 2014: 3: finished (207ms, 500cycles)
Sat Jan 11 18:41:52 CET 2014: 3: No solution found.
Sat Jan 11 18:41:52 CET 2014: 4: finished (15ms, 27cycles)
Sat Jan 11 18:41:52 CET 2014: 4: Solution found.
Sat Jan 11 18:41:52 CET 2014: 5: finished (208ms, 500cycles)
Sat Jan 11 18:41:52 CET 2014: 5: No solution found.
Sat Jan 11 18:41:52 CET 2014: 6: finished (214ms, 500cycles)
Sat Jan 11 18:41:52 CET 2014: 6: No solution found.
Sat Jan 11 18:41:52 CET 2014: 7: finished (225ms, 500cycles)
Sat Jan 11 18:41:52 CET 2014: 7: No solution found.
Sat Jan 11 18:41:53 CET 2014: 8: finished (208ms, 500cycles)
Sat Jan 11 18:41:53 CET 2014: 8: No solution found.
Sat Jan 11 18:41:53 CET 2014: 9: finished (210ms, 500cycles)
Sat Jan 11 18:41:53 CET 2014: 9: No solution found.
Sat Jan 11 18:41:53 CET 2014: 10: finished (220ms, 500cycles)
Sat Jan 11 18:41:53 CET 2014: 10: No solution found.
Sat Jan 11 18:41:53 CET 2014: 11: finished (218ms, 500cycles)
Sat Jan 11 18:41:53 CET 2014: 11: No solution found.
Sat Jan 11 18:41:53 CET 2014: 12: finished (217ms, 500cycles)
Sat Jan 11 18:41:53 CET 2014: 12: No solution found.
Sat Jan 11 18:41:54 CET 2014: 13: finished (219ms, 500cycles)
Sat Jan 11 18:41:54 CET 2014: 13: No solution found.
Sat Jan 11 18:41:54 CET 2014: 14: finished (207ms, 500cycles)
Sat Jan 11 18:41:54 CET 2014: 14: No solution found.
Sat Jan 11 18:41:54 CET 2014: 15: finished (205ms, 500cycles)
Sat Jan 11 18:41:54 CET 2014: 15: No solution found.
Sat Jan 11 18:41:54 CET 2014: 16: finished (241ms, 500cycles)
Sat Jan 11 18:41:54 CET 2014: 16: No solution found.
Sat Jan 11 18:41:54 CET 2014: 17: finished (9ms, 13cycles)
Sat Jan 11 18:41:54 CET 2014: 17: Solution found.
Sat Jan 11 18:41:54 CET 2014: 18: finished (233ms, 500cycles)
Sat Jan 11 18:41:54 CET 2014: 18: No solution found.
Sat Jan 11 18:41:55 CET 2014: 19: finished (232ms, 500cycles)
Sat Jan 11 18:41:55 CET 2014: 19: No solution found.
Sat Jan 11 18:41:55 CET 2014: 20: finished (7ms, 10cycles)
Sat Jan 11 18:41:55 CET 2014: 20: Solution found.
Sat Jan 11 18:41:55 CET 2014: 21: finished (286ms, 500cycles)
Sat Jan 11 18:41:55 CET 2014: 21: No solution found.
Sat Jan 11 18:41:55 CET 2014: 22: finished (264ms, 500cycles)
Sat Jan 11 18:41:55 CET 2014: 22: No solution found.
Sat Jan 11 18:41:56 CET 2014: 23: finished (224ms, 500cycles)
Sat Jan 11 18:41:56 CET 2014: 23: No solution found.
Sat Jan 11 18:41:56 CET 2014: 24: finished (211ms, 500cycles)
Sat Jan 11 18:41:56 CET 2014: 24: No solution found.
Sat Jan 11 18:41:56 CET 2014: 25: finished (208ms, 500cycles)
Sat Jan 11 18:41:56 CET 2014: 25: No solution found.
Sat Jan 11 18:41:56 CET 2014: 26: finished (206ms, 500cycles)
Sat Jan 11 18:41:56 CET 2014: 26: No solution found.
Sat Jan 11 18:41:56 CET 2014: 27: finished (251ms, 500cycles)
Sat Jan 11 18:41:56 CET 2014: 27: No solution found.
Sat Jan 11 18:41:56 CET 2014: 28: finished (14ms, 20cycles)
Sat Jan 11 18:41:56 CET 2014: 28: Solution found.
Sat Jan 11 18:41:57 CET 2014: 29: finished (232ms, 500cycles)
Sat Jan 11 18:41:57 CET 2014: 29: No solution found.
Sat Jan 11 18:41:57 CET 2014: 30: finished (212ms, 500cycles)
Sat Jan 11 18:41:57 CET 2014: 30: No solution found.
Sat Jan 11 18:41:57 CET 2014: 31: finished (209ms, 500cycles)
Sat Jan 11 18:41:57 CET 2014: 31: No solution found.
Sat Jan 11 18:41:57 CET 2014: 32: finished (33ms, 54cycles)
Sat Jan 11 18:41:57 CET 2014: 32: Solution found.
Sat Jan 11 18:41:57 CET 2014: 33: finished (232ms, 500cycles)
Sat Jan 11 18:41:57 CET 2014: 33: No solution found.
Sat Jan 11 18:41:58 CET 2014: 34: finished (213ms, 500cycles)
Sat Jan 11 18:41:58 CET 2014: 34: No solution found.
Sat Jan 11 18:41:58 CET 2014: 35: finished (217ms, 500cycles)
Sat Jan 11 18:41:58 CET 2014: 35: No solution found.
Sat Jan 11 18:41:58 CET 2014: 36: finished (380ms, 500cycles)
Sat Jan 11 18:41:58 CET 2014: 36: No solution found.
Sat Jan 11 18:41:59 CET 2014: 37: finished (603ms, 500cycles)
Sat Jan 11 18:41:59 CET 2014: 37: No solution found.
Sat Jan 11 18:41:59 CET 2014: 38: finished (626ms, 500cycles)
Sat Jan 11 18:41:59 CET 2014: 38: No solution found.
Sat Jan 11 18:42:00 CET 2014: 39: finished (678ms, 500cycles)
Sat Jan 11 18:42:00 CET 2014: 39: No solution found.
Sat Jan 11 18:42:01 CET 2014: 40: finished (613ms, 500cycles)
Sat Jan 11 18:42:01 CET 2014: 40: No solution found.
Sat Jan 11 18:42:01 CET 2014: 41: finished (641ms, 500cycles)
Sat Jan 11 18:42:01 CET 2014: 41: No solution found.
Sat Jan 11 18:42:02 CET 2014: 42: finished (632ms, 500cycles)
Sat Jan 11 18:42:02 CET 2014: 42: No solution found.
Sat Jan 11 18:42:03 CET 2014: 43: finished (627ms, 500cycles)
Sat Jan 11 18:42:03 CET 2014: 43: No solution found.
Sat Jan 11 18:42:03 CET 2014: 44: finished (632ms, 500cycles)
Sat Jan 11 18:42:03 CET 2014: 44: No solution found.
Sat Jan 11 18:42:04 CET 2014: 45: finished (633ms, 500cycles)
Sat Jan 11 18:42:04 CET 2014: 45: No solution found.
Sat Jan 11 18:42:04 CET 2014: 46: finished (344ms, 500cycles)
Sat Jan 11 18:42:04 CET 2014: 46: No solution found.
Sat Jan 11 18:42:04 CET 2014: 47: finished (206ms, 500cycles)
Sat Jan 11 18:42:04 CET 2014: 47: No solution found.
Sat Jan 11 18:42:05 CET 2014: 48: finished (209ms, 500cycles)
Sat Jan 11 18:42:05 CET 2014: 48: No solution found.
Sat Jan 11 18:42:05 CET 2014: 49: finished (209ms, 500cycles)
Sat Jan 11 18:42:05 CET 2014: 49: No solution found.
Sat Jan 11 18:42:05 CET 2014: 50: finished (207ms, 500cycles)
Sat Jan 11 18:42:05 CET 2014: 50: No solution found.
Sat Jan 11 18:42:05 CET 2014: 51: finished (11ms, 24cycles)
Sat Jan 11 18:42:05 CET 2014: 51: Solution found.
Sat Jan 11 18:42:05 CET 2014: 52: finished (212ms, 500cycles)
Sat Jan 11 18:42:05 CET 2014: 52: No solution found.
Sat Jan 11 18:42:05 CET 2014: 53: finished (219ms, 500cycles)
Sat Jan 11 18:42:05 CET 2014: 53: No solution found.
Sat Jan 11 18:42:06 CET 2014: 54: finished (218ms, 500cycles)
Sat Jan 11 18:42:06 CET 2014: 54: No solution found.
Sat Jan 11 18:42:06 CET 2014: 55: finished (6ms, 13cycles)
Sat Jan 11 18:42:06 CET 2014: 55: Solution found.
Sat Jan 11 18:42:06 CET 2014: 56: finished (4ms, 8cycles)
Sat Jan 11 18:42:06 CET 2014: 56: Solution found.
Sat Jan 11 18:42:06 CET 2014: 57: finished (212ms, 500cycles)
Sat Jan 11 18:42:06 CET 2014: 57: No solution found.
Sat Jan 11 18:42:06 CET 2014: 58: finished (208ms, 500cycles)
Sat Jan 11 18:42:06 CET 2014: 58: No solution found.
Sat Jan 11 18:42:06 CET 2014: 59: finished (220ms, 500cycles)
Sat Jan 11 18:42:06 CET 2014: 59: No solution found.
Sat Jan 11 18:42:07 CET 2014: 60: finished (218ms, 500cycles)
Sat Jan 11 18:42:07 CET 2014: 60: No solution found.
Sat Jan 11 18:42:07 CET 2014: 61: finished (18ms, 38cycles)
Sat Jan 11 18:42:07 CET 2014: 61: Solution found.
Sat Jan 11 18:42:07 CET 2014: 62: finished (207ms, 500cycles)
Sat Jan 11 18:42:07 CET 2014: 62: No solution found.
Sat Jan 11 18:42:07 CET 2014: 63: finished (207ms, 500cycles)
Sat Jan 11 18:42:07 CET 2014: 63: No solution found.
Sat Jan 11 18:42:07 CET 2014: 64: finished (223ms, 500cycles)
Sat Jan 11 18:42:07 CET 2014: 64: No solution found.
Sat Jan 11 18:42:07 CET 2014: 65: finished (13ms, 27cycles)
Sat Jan 11 18:42:07 CET 2014: 65: Solution found.
Sat Jan 11 18:42:07 CET 2014: 66: finished (218ms, 500cycles)
Sat Jan 11 18:42:07 CET 2014: 66: No solution found.
Sat Jan 11 18:42:07 CET 2014: 67: finished (7ms, 14cycles)
Sat Jan 11 18:42:07 CET 2014: 67: Solution found.
Sat Jan 11 18:42:08 CET 2014: 68: finished (212ms, 500cycles)
Sat Jan 11 18:42:08 CET 2014: 68: No solution found.
Sat Jan 11 18:42:08 CET 2014: 69: finished (209ms, 500cycles)
Sat Jan 11 18:42:08 CET 2014: 69: No solution found.
Sat Jan 11 18:42:08 CET 2014: 70: finished (206ms, 500cycles)
Sat Jan 11 18:42:08 CET 2014: 70: No solution found.
Sat Jan 11 18:42:08 CET 2014: 71: finished (209ms, 500cycles)
Sat Jan 11 18:42:08 CET 2014: 71: No solution found.
Sat Jan 11 18:42:08 CET 2014: 72: finished (223ms, 500cycles)
Sat Jan 11 18:42:08 CET 2014: 72: No solution found.
Sat Jan 11 18:42:09 CET 2014: 73: finished (213ms, 500cycles)
Sat Jan 11 18:42:09 CET 2014: 73: No solution found.
Sat Jan 11 18:42:09 CET 2014: 74: finished (229ms, 500cycles)
Sat Jan 11 18:42:09 CET 2014: 74: No solution found.
Sat Jan 11 18:42:09 CET 2014: 75: finished (248ms, 500cycles)
Sat Jan 11 18:42:09 CET 2014: 75: No solution found.
Sat Jan 11 18:42:09 CET 2014: 76: finished (290ms, 500cycles)
Sat Jan 11 18:42:09 CET 2014: 76: No solution found.
Sat Jan 11 18:42:10 CET 2014: 77: finished (293ms, 500cycles)
Sat Jan 11 18:42:10 CET 2014: 77: No solution found.
Sat Jan 11 18:42:10 CET 2014: 78: finished (27ms, 44cycles)
Sat Jan 11 18:42:10 CET 2014: 78: Solution found.
Sat Jan 11 18:42:10 CET 2014: 79: finished (227ms, 500cycles)
Sat Jan 11 18:42:10 CET 2014: 79: No solution found.
Sat Jan 11 18:42:10 CET 2014: 80: finished (211ms, 500cycles)
Sat Jan 11 18:42:10 CET 2014: 80: No solution found.
Sat Jan 11 18:42:10 CET 2014: 81: finished (213ms, 500cycles)
Sat Jan 11 18:42:10 CET 2014: 81: No solution found.
Sat Jan 11 18:42:11 CET 2014: 82: finished (232ms, 500cycles)
Sat Jan 11 18:42:11 CET 2014: 82: No solution found.
Sat Jan 11 18:42:11 CET 2014: 83: finished (14ms, 25cycles)
Sat Jan 11 18:42:11 CET 2014: 83: Solution found.
Sat Jan 11 18:42:11 CET 2014: 84: finished (241ms, 500cycles)
Sat Jan 11 18:42:11 CET 2014: 84: No solution found.
Sat Jan 11 18:42:11 CET 2014: 85: finished (220ms, 500cycles)
Sat Jan 11 18:42:11 CET 2014: 85: No solution found.
Sat Jan 11 18:42:11 CET 2014: 86: finished (216ms, 500cycles)
Sat Jan 11 18:42:11 CET 2014: 86: No solution found.
Sat Jan 11 18:42:12 CET 2014: 87: finished (211ms, 500cycles)
Sat Jan 11 18:42:12 CET 2014: 87: No solution found.
Sat Jan 11 18:42:12 CET 2014: 88: finished (211ms, 500cycles)
Sat Jan 11 18:42:12 CET 2014: 88: No solution found.
Sat Jan 11 18:42:12 CET 2014: 89: finished (216ms, 500cycles)
Sat Jan 11 18:42:12 CET 2014: 89: No solution found.
Sat Jan 11 18:42:12 CET 2014: 90: finished (223ms, 500cycles)
Sat Jan 11 18:42:12 CET 2014: 90: No solution found.
Sat Jan 11 18:42:12 CET 2014: 91: finished (211ms, 500cycles)
Sat Jan 11 18:42:12 CET 2014: 91: No solution found.
Sat Jan 11 18:42:13 CET 2014: 92: finished (212ms, 500cycles)
Sat Jan 11 18:42:13 CET 2014: 92: No solution found.
Sat Jan 11 18:42:13 CET 2014: 93: finished (223ms, 500cycles)
Sat Jan 11 18:42:13 CET 2014: 93: No solution found.
Sat Jan 11 18:42:13 CET 2014: 94: finished (4ms, 9cycles)
Sat Jan 11 18:42:13 CET 2014: 94: Solution found.
Sat Jan 11 18:42:13 CET 2014: 95: finished (213ms, 500cycles)
Sat Jan 11 18:42:13 CET 2014: 95: No solution found.
Sat Jan 11 18:42:13 CET 2014: 96: finished (404ms, 500cycles)
Sat Jan 11 18:42:13 CET 2014: 96: No solution found.
Sat Jan 11 18:42:14 CET 2014: 97: finished (637ms, 500cycles)
Sat Jan 11 18:42:14 CET 2014: 97: No solution found.
Sat Jan 11 18:42:15 CET 2014: 98: finished (646ms, 500cycles)
Sat Jan 11 18:42:15 CET 2014: 98: No solution found.
Sat Jan 11 18:42:15 CET 2014: 99: finished (16ms, 11cycles)
Sat Jan 11 18:42:15 CET 2014: 99: Solution found.
Sat Jan 11 18:42:15 CET 2014: Solution Found: 16
Sat Jan 11 18:42:15 CET 2014: Avg cycles: 21
Sat Jan 11 18:42:15 CET 2014: Max cycles: 54
Sat Jan 11 18:42:15 CET 2014: Min cycles: 8
Sat Jan 11 18:42:15 CET 2014: No solution found: 84
Sat Jan 11 18:42:15 CET 2014: logging finished. (runtime: 23805ms)
